
2021-09-13-20:38:22 (hrmele@gmail.com) hrmele@gmail.com alterou estoque | UPDATE produtos SET estoque = 7 WHERE id = 514
2021-09-13-20:42:42 (hrmele@gmail.com) hrmele@gmail.com tentou alterar estoque de produto inexistente (id=514) | SELECT id, estoque, nome, produtor FROM produtos WHERE id = 514
2021-09-13-20:43:19 (hrmele@gmail.com) hrmele@gmail.com tentou alterar estoque de produto inexistente (id=514) | SELECT id, estoque, nome, produtor FROM produtos WHERE id = 514
2021-09-13-20:43:47 (hrmele@gmail.com) hrmele@gmail.com tentou alterar estoque de produto inexistente (id=514) | SELECT * FROM produtos WHERE id = 514
2021-09-13-20:44:05 (hrmele@gmail.com) hrmele@gmail.com alterou estoque do aa (Gaúcho) de 7 para 5 | UPDATE produtos SET estoque = 5 WHERE id = 514
2021-09-13-21:04:29 (hrmele@gmail.com) hrmele@gmail.com alterou estoque do aa (Gaúcho) de 5 para 0 | UPDATE produtos SET estoque = 0 WHERE id = 514
2021-09-13-21:04:31 (hrmele@gmail.com) hrmele@gmail.com alterou estoque do aa (Gaúcho) de 0 para 1 | UPDATE produtos SET estoque = 1 WHERE id = 514
2021-09-13-21:04:42 (hrmele@gmail.com) hrmele@gmail.com alterou estoque do aa (Gaúcho) de 1 para 0 | UPDATE produtos SET estoque = 0 WHERE id = 514
2021-09-13-21:07:47 (hrmele@gmail.com) hrmele@gmail.com alterou estoque do aa (Gaúcho) de 0 para 5 | UPDATE produtos SET estoque = 5 WHERE id = 514
2021-09-13-21:10:15 (hrmele@gmail.com) hrmele@gmail.com alterou estoque do aa (Gaúcho) de 5 para 0 | UPDATE produtos SET estoque = 0 WHERE id = 514
2021-09-13-21:11:24 (hrmele@gmail.com) hrmele@gmail.com alterou estoque do aa (Gaúcho) de 0 para 5 | UPDATE produtos SET estoque = 5 WHERE id = 514
2021-09-13-21:11:35 (hrmele@gmail.com) hrmele@gmail.com alterou estoque do aa (Gaúcho) de 5 para 0 | UPDATE produtos SET estoque = 0 WHERE id = 514
2021-09-13-21:13:24 (hrmele@gmail.com) hrmele@gmail.com alterou estoque do aa (Gaúcho) de 0 para 5 | UPDATE produtos SET estoque = 5 WHERE id = 514
2021-09-13-21:18:06 (hrmele@gmail.com) hrmele@gmail.com alterou estoque do aa (Gaúcho) de 5 para 0 | UPDATE produtos SET estoque = 0 WHERE id = 514
2021-09-13-21:18:08 (hrmele@gmail.com) hrmele@gmail.com alterou estoque do Arroz Agulhinha Integral 5kg (Mano Velho) de 2 para 0 | UPDATE produtos SET estoque = 0 WHERE id = 412
2021-09-13-21:26:42 (hrmele@gmail.com) hrmele@gmail.com alterou estoque do aa (-) de 0 para 1 | UPDATE produtos SET estoque = 1 WHERE id = 513
2021-09-13-21:26:43 (hrmele@gmail.com) hrmele@gmail.com alterou estoque do aa (-) de 1 para 0 | UPDATE produtos SET estoque = 0 WHERE id = 513
2021-09-13-22:06:07 (hrmele@gmail.com) hrmele@gmail.com alterou estoque do aa (-) de 0 para 0 | UPDATE produtos SET estoque = 0 WHERE id = 513
2021-09-13-22:06:07 (hrmele@gmail.com) hrmele@gmail.com alterou estoque do aa (Gaúcho) de 0 para 2 | UPDATE produtos SET estoque = 2 WHERE id = 514
2021-09-13-22:06:07 (hrmele@gmail.com) hrmele@gmail.com alterou estoque do Abacate (600g) (Terra Viva) de 0 para 0 | UPDATE produtos SET estoque = 0 WHERE id = 259
2021-09-13-22:06:07 (hrmele@gmail.com) hrmele@gmail.com alterou estoque do Abacate Manteiga G (Breno) de 0 para 0 | UPDATE produtos SET estoque = 0 WHERE id = 254
